code_muni,uf,municipality,adoption_year,resolution
3153301,MG,Presidente Kubitschek,2025,Nº 2 - 24/02/2025
3154002,MG,Raul Soares,2024,Nº 6 - 29/05/2024
3154309,MG,Resplendor,2025,Nº 9 - 30/06/2025
3154606,MG,Ribeirão das Neves,2017,Nº 2 - 10/02/2017
3154903,MG,Rio Casca,2025,Nº 14 - 16/10/2025
3155009,MG,Rio Doce,2026,N° 27 - 04/08/2026
3155108,MG,Rio do Prado,2025,Nº 9 - 30/06/2025
3155603,MG,Rio Pardo de Minas,2025,Nº 8 - 30/04/2025
3156007,MG,Rio Vermelho,2024,Nº 12 - 19/11/2024
3156502,MG,Rubelita,2025,Nº 13 - 17/09/2025
3156601,MG,Rubim,2024,Nº 8 - 03/07/2024
3156700,MG,Sabará,2026,Nº 23 - 26/05/2026
3156809,MG,Sabinópolis,2026,Nº 23 - 26/05/2026
3156908,MG,Sacramento,2026,Nº 26 - 26/07/2026
3157005,MG,Salinas,2024,Nº 9 - 20/08/2024
3157377,MG,Santa Cruz de Salinas,2025,Nº 9 - 30/06/2025
3157658,MG,Santa Helena de Minas,2025,Nº 13 - 17/09/2025
3157807,MG,Santa Luzia,2025,Nº 9 - 30/06/2025
3158102,MG,Santa Maria do Salto,2025,Nº 7 - 28/04/2025
3158201,MG,Santa Maria do Suaçuí,2022,Nº 7 - 29/11/2022
3158904,MG,Santana do Manhuaçu,2026,Nº 23 - 26/05/2026
3158953,MG,Santana do Paraíso,2021,Nº 2 - 25/11/2021
3159001,MG,Santana do Riacho,2024,Nº 7 - 21/06/2024
3159357,MG,Santa Rita de Minas,2024,Nº 9 - 20/08/2024
3159506,MG,Santa Rita do Itueto,2026,Nº 26 - 26/07/2026
3159605,MG,Santa Rita do Sapucaí,2026,Nº 23 - 26/05/2026
3159902,MG,Santo Antônio do Amparo,2026,Nº 23 - 26/05/2026
3160207,MG,Santo Antônio do Itambé,2024,Nº 10 - 30/09/2024
3160306,MG,Santo Antônio do Jacinto,2025,Nº 9 - 30/06/2025
3160959,MG,São Domingos das Dores,2024,Nº 2 - 08/03/2024
3161056,MG,São Félix de Minas,2025,Nº 9 - 30/06/2025
3161601,MG,São Geraldo da Piedade,2026,Nº 22 - 29/04/2026
3162104,MG,São Gotardo,2025,Nº 9 - 30/06/2025
3162401,MG,São João da Ponte,2024,Nº 03 - 05/04/2024
3162450,MG,São João das Missões,2024,Nº 13 - 13/12/2024
3162500,MG,São João del Rei,2024,Nº 8 - 03/07/2024
3162609,MG,São João do Oriente,2024,Nº 9 - 20/08/2024
3162708,MG,São João do Paraíso,2024,Nº 9 - 20/08/2024
3163508,MG,São José do Jacuri,2024,Nº 12 - 19/11/2024
3164001,MG,São Pedro dos Ferros,2025,Nº 7 - 28/04/2025
3164100,MG,São Pedro do Suaçuí,2026,Nº 26 - 26/07/2026
3164209,MG,São Romão,2024,Nº 8 - 03/07/2024
3164472,MG,São Sebastião do Anta,2022,Nº 4 - 20/07/2022
3164506,MG,São Sebastião do Maranhão,2025,Nº 14 - 16/10/2025
3165503,MG,Sardoá,2026,N° 28 - 26/08/2026
3165552,MG,Setubinha,2024,Nº 8 - 03/07/2024
3165560,MG,Sem-Peixe,2026,Nº 22 - 29/04/2026
3165701,MG,Senador Firmino,2025,Nº 17 - 31/12/2025
3165909,MG,Senador Modestino Gonçalves,2024,Nº 9 - 20/08/2024
3166501,MG,Serra Azul de Minas,2025,Nº 2 - 24/02/2025
3167103,MG,Serro,2025,Nº 2 - 24/02/2025
3167202,MG,Sete Lagoas,2026,N° 27 - 04/08/2026
3167608,MG,Simonésia,2022,Nº 4 - 20/07/2022
3168002,MG,Taiobeiras,2026,Nº 22 - 29/04/2026
3168051,MG,Taparuba,2023,Nº 1 - 30/06/2023
3168705,MG,Timóteo,2026,Nº 22 - 29/04/2026
3169307,MG,Três Corações,2024,Nº 9 - 20/08/2024
3169356,MG,Três Marias,2024,Nº 2 - 08/03/2024
3169505,MG,Tumiritinga,2025,Nº 5 - 25/03/2025
3169703,MG,Turmalina,2025,Nº 2 - 24/02/2025
3169901,MG,Ubá,2024,Nº 9 - 20/08/2024
3170057,MG,Ubaporanga,2021,Nº 2 - 25/11/2021
3170107,MG,Uberaba,2017,Nº 2 - 10/02/2017
3170206,MG,Uberlândia,2024,Nº 8 - 03/07/2024
3170404,MG,Unaí,2025,Nº 7 - 28/04/2025
3170503,MG,Urucânia,2024,Nº 10 - 30/09/2024
3170578,MG,Vargem Alegre,2021,Nº 2 - 25/11/2021
3170651,MG,Vargem Grande do Rio Pardo,2026,Nº 22 - 29/04/2026
3170701,MG,Varginha,2025,Nº 2 - 24/02/2025
3170909,MG,Varzelândia,2025,Nº 2 - 24/02/2025
3171071,MG,Veredinha,2024,Nº 6 - 29/05/2024
3171154,MG,Vermelho Novo,2021,Nº 2 - 25/11/2021
3171303,MG,Viçosa,2025,Nº 8 - 30/04/2025
3171501,MG,Mathias Lobato,2025,Nº 13 - 17/09/2025
3171600,MG,Virgem da Lapa,2025,Nº 13 - 17/09/2025
5000609,MS,Amambai,2025,Nº 8 - 30/04/2025
5000708,MS,Anastácio,2025,Nº 9 - 30/06/2025
5000807,MS,Anaurilândia,2025,Nº 7 - 28/04/2025
5000906,MS,Antônio João,2026,Nº 25 - 26/06/2026
5001102,MS,Aquidauana,2025,Nº 9 - 30/06/2025
5001243,MS,Aral Moreira,2025,Nº 9 - 30/06/2025
5002159,MS,Bodoquena,2025,Nº 7 - 28/04/2025
5002308,MS,Brasilândia,2025,Nº 10 - 10/07/2025
5002407,MS,Caarapó,2025,Nº 8 - 30/04/2025
5002704,MS,Campo Grande,2024,Nº 4 - 07/05/2024
5002951,MS,Chapadão do Sul,2025,Nº 8 - 30/04/2025
5003207,MS,Corumbá,2024,Nº 4 - 07/05/2024
5003504,MS,Douradina,2025,Nº 9 - 30/06/2025
5003702,MS,Dourados,2024,Nº 9 - 20/08/2024
5003751,MS,Eldorado,2024,Nº 12 - 19/11/2024
5003801,MS,Fátima do Sul,2025,Nº 7 - 28/04/2025
5004007,MS,Glória de Dourados,2025,Nº 8 - 30/04/2025
5004304,MS,Iguatemi,2024,Nº 12 - 19/11/2024
5004403,MS,Inocência,2025,Nº 9 - 30/06/2025
5004601,MS,Itaquiraí,2025,Nº 8 - 30/04/2025
5004809,MS,Japorã,2025,Nº 5 - 25/03/2025
5005004,MS,Jardim,2025,Nº 7 - 28/04/2025
5005152,MS,Juti,2025,Nº 9 - 30/06/2025
5005400,MS,Maracaju,2025,Nº 9 - 30/06/2025
5005707,MS,Naviraí,2025,Nº 7 - 28/04/2025
5006002,MS,Nova Alvorada do Sul,2025,Nº 9 - 30/06/2025
5006358,MS,Paranhos,2025,Nº 9 - 30/06/2025
5006606,MS,Ponta Porã,2025,Nº 9 - 30/06/2025
5007208,MS,Rio Brilhante,2024,Nº 13 - 13/12/2024
5007554,MS,Santa Rita do Pardo,2025,Nº 6 - 02/04/2025
5007950,MS,Tacuru,2024,Nº 12 - 19/11/2024
5008008,MS,Terenos,2026,Nº 25 - 26/06/2026
5008404,MS,Vicentina,2026,Nº 25 - 26/06/2026
5100201,MT,Água Boa,2025,Nº 8 - 30/04/2025
5100250,MT,Alta Floresta,2026,Nº 25 - 26/06/2026
5100359,MT,Alto Boa Vista,2025,Nº 8 - 30/04/2025
5100607,MT,Alto Taquari,2025,Nº 9 - 30/06/2025
5100805,MT,Apiacás,2025,Nº 8 - 30/04/2025
5101704,MT,Barra do Bugres,2025,Nº 12 - 03/09/2025
5101803,MT,Barra do Garças,2026,Nº 25 - 26/06/2026
5101837,MT,Bom Jesus do Araguaia,2025,Nº 8 - 30/04/2025
5101902,MT,Brasnorte,2025,Nº 8 - 30/04/2025
5102702,MT,Canarana,2025,Nº 8 - 30/04/2025
5103403,MT,Cuiabá,2026,Nº 25 - 26/06/2026
5103700,MT,Feliz Natal,2025,Nº 12 - 03/09/2025
5103809,MT,Figueirópolis D'Oeste,2025,Nº 8 - 30/04/2025
5103858,MT,Gaúcha do Norte,2025,Nº 13 - 17/09/2025
5104559,MT,Itaúba,2026,Nº 26 - 26/07/2026
5104807,MT,Jaciara,2026,Nº 25 - 26/06/2026
5105101,MT,Juara,2026,Nº 25 - 26/06/2026
5105176,MT,Juruena,2025,Nº 4 - 20/03/2025
5105259,MT,Lucas do Rio Verde,2025,Nº 8 - 30/04/2025
5105309,MT,Luciara,2026,Nº 25 - 26/06/2026
5105580,MT,Marcelândia,2025,Nº 2 - 24/02/2025
5105606,MT,Matupá,2026,Nº 25 - 26/06/2026
5106109,MT,Nossa Senhora do Livramento,2025,Nº 8 - 30/04/2025
5106182,MT,Nova Lacerda,2025,Nº 8 - 30/04/2025
5106224,MT,Nova Mutum,2026,N° 28 - 26/08/2026
5106265,MT,Novo Mundo,2026,Nº 25 - 26/06/2026
